"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.70832320549337e-71,0.766679591762017,0.902,0.783,2.8452122987492e-67,"0","ALDOA"
9.38895784986205e-71,2.25857782259348,0.302,0.085,1.56373092989452e-66,"0","GRINA"
2.59577061958037e-70,1.26883937842905,0.624,0.341,4.32325596691111e-66,"0","GNAI2"
2.69374944183005e-69,1.70625041801786,0.437,0.176,4.48643969536795e-65,"0","IRF2BP2"
3.55244573096789e-69,0.723423309150248,0.873,0.661,5.91659836492702e-65,"0","ITGB2"
1.17279512868803e-68,2.0558865125149,0.325,0.1,1.95329028682991e-64,"0","MFSD1"
4.25474697921813e-68,1.7217328966821,0.387,0.136,7.08628109388779e-64,"0","PECAM1"
1.00070882829565e-67,0.953492322844714,0.786,0.591,1.6666805535264e-63,"0","PCBP1"
1.87649937363686e-67,2.03686105825702,0.337,0.109,3.12530970679219e-63,"0","IFNGR1"
3.12662932747943e-67,1.34304890309485,0.591,0.328,5.207401144917e-63,"0","PGLS"
7.1408884963673e-67,1.03020450347768,0.754,0.523,1.18931497906997e-62,"0","DAZAP2"
9.90643532836027e-67,1.27290724460782,0.61,0.344,1.6499168039384e-62,"0","SERPINB1"
1.49253685896208e-66,2.10984398993288,0.311,0.092,2.48582013860135e-62,"0","BLVRA"
1.58467539534692e-66,1.52963909190777,0.464,0.199,2.63927687095029e-62,"0","ATG3"
2.02974895543519e-66,1.92809879589696,0.357,0.122,3.38054688527731e-62,"0","NAGK"
3.34520894816145e-66,1.62144461856441,0.48,0.219,5.57144550316289e-62,"0","NFKBIZ"
4.58424907724474e-66,2.43691728687466,0.258,0.065,7.63506683815111e-62,"0","EHBP1L1"
8.16524849868848e-66,1.10154757095615,0.72,0.496,1.35992213745657e-61,"0","SH3BGRL"
8.879040365084e-66,0.69923551867754,0.903,0.783,1.47880417280474e-61,"0","ARPC3"
2.41387567951107e-65,2.31121665663654,0.271,0.073,4.02030994422568e-61,"0","PLSCR1"
3.8002550183025e-65,1.18438244344395,0.512,0.23,6.32932473298281e-61,"0","EFHD2"
1.63297863759846e-64,0.980009083018138,0.77,0.567,2.71972592092024e-60,"0","COX7B"
