"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.65783509970743e-76,3.0305653872496,0.291,0.046,7.75762435856273e-72,"4","TIGIT"
1.23429794048747e-136,2.90426446660367,0.635,0.154,2.05572321988187e-132,"4","CMC1"
4.62101978801678e-148,2.87831528011297,0.625,0.131,7.69630845694194e-144,"4","CD8A"
2.01803980548129e-155,2.57648779840079,0.747,0.193,3.36104529602909e-151,"4","LYAR"
2.17916127378133e-164,2.37034003042037,0.73,0.157,3.62939310148281e-160,"4","CST7"
1.68719159320334e-56,2.34787183052841,0.276,0.055,2.81001759848016e-52,"4","CD160"
2.08831522999253e-251,4.12350550724853,0.531,0.037,3.47808901555257e-247,"5","RP11-291B21.2"
2.23851560123496e-264,3.19210303611763,0.838,0.13,3.72824773385683e-260,"5","CD8B"
3.22266180582403e-103,2.58694618751307,0.448,0.081,5.36734323759993e-99,"5","NELL2"
4.60733500513722e-55,2.32407017157866,0.26,0.048,7.67351645105605e-51,"5","LRRN3"
3.70483872524427e-52,2.1779752894591,0.324,0.08,6.17040889689433e-48,"5","CARS"
3.31161336833152e-143,2.11635622187585,0.668,0.129,5.51549206495614e-139,"5","CD8A"
6.61824720349406e-47,1.97281986772472,0.313,0.079,1.10226907174193e-42,"5","PDE3B"
1.56226494233069e-38,1.8642516495592,0.263,0.066,2.60195226145177e-34,"5","SCGB3A1"
5.93917697437412e-54,1.82615211500162,0.422,0.125,9.8916992508201e-50,"5","TRABD2A"
1.167845759263e-75,1.65233342419563,0.663,0.223,1.94504711205253e-71,"5","LEF1"
3.18799601058029e-270,5.41522638278099,0.651,0.039,5.30960735562147e-266,"6","TRGC1"
1.91270530855909e-165,4.33628147156605,0.443,0.029,3.18561069140516e-161,"6","KLRC1"
2.72497128036632e-144,3.91639493804287,0.604,0.078,4.53843966745011e-140,"6","TRDC"
3.02466008531561e-111,3.80314189187914,0.316,0.021,5.03757137209314e-107,"6","ZBTB16"
2.41013903432896e-96,3.80098206461691,0.321,0.028,4.01408656167489e-92,"6","LAG3"
4.17248050272808e-174,3.5607187404892,0.929,0.191,6.94926627729362e-170,"6","KLRB1"
1.24743601638832e-107,3.01712504492636,0.561,0.086,2.07760468529475e-103,"6","AC092580.4"
4.15026867367504e-134,2.93778306584271,0.75,0.136,6.91227247600578e-130,"6","KLRG1"
7.8049866973415e-156,2.88530131257058,0.783,0.123,1.29992053444223e-151,"6","GZMK"
1.17193434614547e-82,2.79501954323571,0.533,0.102,1.95185665350528e-78,"6","NCR3"
2.51632019905352e-300,6.5035249908296,0.536,0.016,4.19093129152364e-296,"7","IGHG1"
1.62564328031637e-155,6.26734190540919,0.309,0.011,2.70750888336691e-151,"7","IGHA1"
5.64050669730149e-273,6.22160421476761,0.391,0.005,9.39426390435563e-269,"7","TNFRSF13B"
5.74558996329911e-142,6.09930060617346,0.261,0.008,9.56928008387467e-138,"7","RP5-887A10.1"
9.76166081203223e-162,5.83817585423274,0.319,0.011,1.62580460824397e-157,"7","IGHG3"
1.70714962738881e-121,4.89195938847072,0.28,0.014,2.84325770441606e-117,"7","AIM2"
3.24087460160784e-105,3.91107693235116,0.285,0.017,5.39767664897786e-101,"7","CPNE5"
3.62731579015246e-194,3.85020799740034,0.536,0.035,6.04129444849893e-190,"7","CD24"
1.41946835689911e-138,3.71340594630064,0.415,0.03,2.36412454841547e-134,"7","TLR10"
3.87874085458892e-143,3.65282523119499,0.488,0.043,6.46004289331785e-139,"7","JCHAIN"
0,6.63547167264544,0.917,0.026,0,"8","KLRF1"
8.9625547330036e-224,6.18103777308272,0.375,0.009,1.49271349078175e-219,"8","SH2D1B"
4.34477518993971e-227,5.78614137147263,0.406,0.011,7.23622307884458e-223,"8","PRSS23"
1.60863721110673e-269,5.67534714250424,0.74,0.053,2.67918527509826e-265,"8","SPON2"
2.83325014811207e-206,5.4485452450399,0.974,0.189,4.71877812168065e-202,"8","GNLY"
7.41848336844522e-175,5.40807250012769,0.411,0.02,1.23554840501455e-170,"8","AKR1C3"
1.82605712354598e-273,5.25161389619678,0.786,0.061,3.04129813926583e-269,"8","CLIC3"
6.6194805385653e-287,5.23638911391948,0.797,0.057,1.10247448369805e-282,"8","FGFBP2"
1.8804189109025e-155,5.22131232246268,0.359,0.017,3.13183769610812e-151,"8","XCL1"
2.2085354436003e-266,4.99253188084669,0.656,0.037,3.6783157813163e-262,"8","XCL2"
1.06858771088211e-14,1.36670816739263,0.35,0.143,1.77973283247415e-10,"9","OXNAD1"
4.79260936740506e-16,1.27473850224998,0.429,0.187,7.98209090141313e-12,"9","MAL"
7.91575458532481e-22,1.26070002149821,0.559,0.249,1.31836892618585e-17,"9","LEF1"
1.98512407888194e-08,1.25772739407217,0.282,0.137,0.000330622415337787,"9","STMN3"
9.3013283968099e-17,1.25728118902246,0.48,0.225,1.54913624448869e-12,"9","LDLRAP1"
2.0135859857632e-08,1.25112400272718,0.277,0.133,0.000335362745928861,"9","TXK"
2.99366208348029e-10,1.20418254765451,0.311,0.144,4.98594420003643e-06,"9","TRABD2A"
6.27122361244607e-09,1.17644470856788,0.271,0.125,0.000104447229265289,"9","TESPA1"
2.41370705799329e-11,1.16248366036179,0.418,0.217,4.02002910508783e-07,"9","RCAN3"
7.95019825676403e-20,1.13993108161366,0.712,0.44,1.32410551966405e-15,"9","GIMAP7"
